"Node Id","Route No","Chainage Seq","Route Link No","Chainage"
"695","5819","2","58198001","3732"
"695","176102","3","176102801","553"
"696","5301","1","53018001","1973"
"696","192096","2","192096801","0"
"699","104726","1","104726801","123"
"699","123355","2","123355801","708"
"701","2510","1","25100205","14947"
"701","192094","2","192094801","172"
"705","5303","1","53038001","4439"
"705","127651","2","127651801","0"
"705","136946","3","136946801","289"
"706","112367","1","112367801","644"
"706","156310","2","156310801","782"
"709","2060","1","20608001","8578"
"709","5306","2","53060201","4012"
"711","5727","1","57278001","873"
"711","5728","2","57288001","0"
"711","194280","3","194280801","1617"
"713","2510","1","25108005","19152"
"713","5803","2","58038002","15501"
"714","5303","1","53038001","7495"
"714","5803","2","58038002","12512"
"716","2510","1","25100536","19831"
"716","2510","2","25108005","19831"
"716","117218","3","117218801","1494"
"718","2400","1","24000303","739"
"718","2400","2","24008004","739"
"718","2999","3","29991402","11287"
"718","152591","4","152591801","381"
"718","154090","5","154090801","592"
"718","178678","6","178678801","0"
"719","2000","1","20001105","12747"
"719","100182","2","100182801","0"
"719","141068","3","141068801","94"
"726","2090","1","20908003","31264"
"726","5801","2","58018001","22558"
"727","116219","1","116219801","1247"
"727","225861","2","225861801","1267"
"730","2750","1","27500302","20451"
"730","2750","2","27500507","20451"
"730","156741","3","156741801","565"
"731","5749","1","57498001","378"
"731","195479","2","195479801","804"
"732","5799","1","57998001","16555"
"732","189668","2","189668801","1544"
"733","2400","1","24008004","1156"
"733","5749","2","57498001","0"
"736","102015","1","102015801","0"
"736","133552","2","133552801","0"
"736","210546","3","210546801","0"
"736","229556","4","229556801","191"
"738","2750","1","27500302","25392"
"738","4991","2","49918001","0"
"741","4991","1","49918001","1495"
"741","165671","2","165671801","347"
"741","196454","3","196454801","17"
"743","4991","1","49918001","3433"
"743","166505","2","166505801","0"
"745","4991","1","49918001","56"
"745","214478","2","214478801","399"
"746","4991","1","49918001","3797"
"746","181611","2","181611801","1740"
"747","4991","1","49918001","5653"
"747","216734","2","216734801","0"
"752","5840","1","58408001","10744"
"752","134353","2","134353801","0"
"753","5840","1","58408001","10888"
"753","194347","2","194347801","0"
"755","5840","1","58408001","11477"
"755","120738","2","120738801","0"
"757","5840","1","58408001","11333"
"757","264518","2","264518801","0"
"759","154376","1","154376801","171"
"759","264205","2","264205801","154"
"760","5314","1","53148001","878"
"760","266567","2","266567801","429"
"765","5844","1","58448001","2754"
"765","100204","2","100204801","1847"
"767","148528","1","148528801","618"
"767","262267","2","262267801","188"
"770","5847","1","58478001","1228"
"770","115984","2","115984801","1670"
"773","2660","1","26608002","12270"
"773","102014","2","102014801","0"
"774","2660","1","26608002","12875"
"774","5311","2","53118001","4315"
"774","166805","3","166805801","0"
"777","195479","1","195479801","1798"
"777","223896","2","223896801","392"
"782","2070","1","20708001","6525"
"782","5304","2","53048001","6736"
"785","5304","1","53048001","9995"
"785","5803","2","58038002","17432"
"787","5056","1","50560201","4494"
"787","197251","2","197251801","825"
"788","5056","1","50560201","3989"
"788","267243","2","267243801","0"
"789","5056","1","50560201","3064"
"789","156589","2","156589801","291"
"792","2510","1","25108005","21521"
"792","5056","2","50560201","6894"
"793","2400","1","24008001","40000"
"793","2510","2","25108005","22934"
"795","2290","1","22900201","2816"
"795","2400","2","24008001","38424"
"796","106010","1","106010801","0"
"796","195479","2","195479801","1882"
"797","164853","1","164853801","0"
"797","188204","2","188204801","186"
"797","195479","3","195479801","2118"
"798","226301","1","226301801","111"
"798","262202","2","262202801","1649"
"799","129441","1","129441801","3512"
"799","174538","2","174538801","1976"
"800","2000","1","20001113","16278"
"800","2290","2","22900201","4222"
"801","2510","1","25108005","26075"
"801","117215","2","117215801","0"
"801","204280","3","204280801","23"
"813","5500","1","55000301","4574"
"813","166121","2","166121801","29"
"815","5500","1","55000301","4745"
"815","134510","2","134510801","0"
"816","5500","1","55000201","4193"
"816","115087","2","115087801","802"
"818","5500","1","55000301","4133"
"818","190929","2","190929801","0"
"820","207991","1","207991801","762"
"820","219270","2","219270801","0"
"821","5500","1","55000201","3965"
"821","179174","2","179174801","0"
"822","5500","1","55000301","3780"
"822","173815","2","173815801","0"
"824","5500","1","55000201","3500"
"824","177706","2","177706801","0"
"825","5500","1","55000201","3037"
"825","176783","2","176783801","0"
"827","2660","1","26608002","14267"
"827","134888","2","134888041","0"
"830","5841","1","58418001","1722"
"830","147785","2","147785801","306"
"834","126353","1","126353801","396"
"834","195479","2","195479801","2624"
"837","2050","1","20508001","913"
"837","128594","2","128594801","0"
"840","5927","1","59278001","1656"
"840","229905","2","229905801","497"
"841","2050","1","20508001","3125"
"841","5803","2","58038002","23988"
"842","2400","1","24008001","45180"
"842","125804","2","125804801","0"
"842","199625","3","199625801","0"
"843","5500","1","55000301","2815"
"843","104564","2","104564801","25"
"844","5500","1","55008001","2420"
"844","181712","2","181712801","0"
"846","5500","1","55000201","2608"
"846","5729","2","57298001","2340"
"847","5500","1","55008001","1999"
"847","167193","2","167193801","0"
"847","217143","3","217143801","154"
"848","5500","1","55008001","2196"
"848","103988","2","103988801","0"
"849","5500","1","55008001","2308"
"849","224054","2","224054801","0"
"850","5169","1","51698001","3033"
"850","146796","2","146796801","546"
"851","5500","1","55008001","1613"
"851","106912","2","106912801","1179"
"852","5169","1","51698001","2412"
"852","206074","2","206074801","0"
"853","5500","1","55008001","1805"
"853","220170","2","220170801","146"
"856","131954","1","131954801","0"
