"ACCIDENT_NO","NODE_ID","COMPLEX_INT_NO"
"12002001663 ","42864","6317"
"12002001818 ","35546","5754"
"12002001818 ","35546","101261"
"12002002331 ","36673","9295"
"12002002359 ","35387","9426"
"12002002586 ","29387","9395"
"12002002680 ","36261","9315"
"12002002685 ","40091","9515"
"12002002690 ","42290","6037"
"12002002705 ","37182","9437"
"12002002846 ","787","6139"
"12002003001 ","47349","106083"
"12002003024 ","42155","6101"
"12002003031 ","29474","5441"
"12002003080 ","37624","106078"
"12002003154 ","47362","101498"
"12002003418 ","57539","5760"
"12002003446 ","37049","9439"
"12002003555 ","47390","101866"
"12002003565 ","35714","9155"
"12002003713 ","36230","9314"
"12002003719 ","22","9260"
"12002003903 ","29887","1002"
"12002003941 ","37174","9420"
"12002004140 ","37592","9490"
"12002004200 ","37633","106079"
"12002004204 ","37583","9452"
"12002004403 ","35304","9276"
"12002004413 ","40175","5566"
"12002004726 ","47408","103358"
"12002005157 ","37691","100905"
"12002005198 ","37202","9386"
"12002005400 ","36257","6245"
"12002005429 ","36221","9233"
"12002005439 ","41363","5891"
"12002005539 ","36230","9314"
"12002005738 ","673","5849"
"12002005751 ","37179","9427"
"12002005926 ","40091","9515"
"12002005964 ","57918","5726"
"12002006112 ","29387","9395"
"12002006236 ","35330","6434"
"12002006241 ","36230","9314"
"12002006445 ","46672","9548"
"12002006849 ","47491","6434"
"12002006871 ","29893","1001"
"12002007122 ","40164","103613"
"12002007154 ","29592","9519"
"12002007278 ","35114","6343"
"12002007635 ","137306","9413"
"12002007654 ","29425","9391"
"12002007666 ","29464","9498"
"12002007675 ","41401","5904"
"12002007677 ","36123","105642"
"12002007698 ","37592","9490"
"12002007708 ","36206","9245"
"12002007804 ","47155","9317"
"12002008080 ","35576","6123"
"12002008265 ","41466","5775"
"12002008288 ","37321","9379"
"12002008295 ","33879","1002"
"12002008659 ","57544","100891"
"12002008693 ","37049","9439"
"12002008713 ","36210","9279"
"12002009256 ","37002","9389"
"12002009271 ","47500","101056"
"12002009326 ","29386","9210"
"12002009368 ","45641","9164"
"12002009370 ","29893","1001"
"12002009423 ","37590","9484"
"12002009497 ","41363","5891"
"12002009567 ","29386","9210"
"12002009582 ","36123","105642"
"12002009679 ","29887","1002"
"12002009703 ","47518","100903"
"12002010013 ","29896","9564"
"12002010075 ","29470","5433"
"12002010077 ","57528","5668"
"12002010287 ","37597","9494"
"12002010390 ","41117","9555"
